name	first_year	episode_name	season	episode_number	star_1	star_2	star_3	star_4	star_5	star_6	star_7	star_8	star_9	star_10
____ My Dad Says 2010	2010	Code Ed	1	4	2	2	0	2	8	8	13	13	2	8
____ My Dad Says 2010	2010	Corn Star	1	14	2	0	2	2	2	7	11	11	2	7
____ My Dad Says 2010	2010	Dog Ed Pursuit	1	7	2	0	0	2	2	7	7	11	7	7
____ My Dad Says 2010	2010	Easy_ Writer	1	6	3	0	3	3	3	9	15	9	3	9
____ My Dad Says 2010	2010	Ed Goes to Court	1	15	2	0	0	0	2	7	16	7	2	7
____ My Dad Says 2010	2010	Family Dinner for Schmucks	1	11	2	0	2	2	2	7	11	7	2	11
____ My Dad Says 2010	2010	Goodson Goes Deep	1	12	2	2	0	2	2	6	10	6	6	6
____ My Dad Says 2010	2010	Lock and Load	1	17	2	0	0	2	2	6	10	6	6	6
____ My Dad Says 2010	2010	Make a Wish	1	9	2	0	2	2	2	7	12	7	2	7
____ My Dad Says 2010	2010	Not Without My Jacket	1	5	3	0	3	0	3	3	9	15	3	15
____ My Dad Says 2010	2010	Pilot	1	1	5	5	5	5	15	26	15	15	5	15
____ My Dad Says 2010	2010	The Better Father	1	13	2	0	2	2	2	7	12	7	2	7
____ My Dad Says 2010	2010	The Manly Thing to Do	1	8	2	2	2	2	6	6	11	6	2	6
____ My Dad Says 2010	2010	The Truth About Dads _ Moms	1	3	2	0	2	2	2	8	14	8	2	8
____ My Dad Says 2010	2010	Well Suitored	1	16	1	0	1	1	1	5	13	9	1	5
____ My Dad Says 2010	2010	Who_s Your Daddy_	1	18	2	0	0	0	2	2	8	14	8	20
____ My Dad Says 2010	2010	Wi_Fight	1	2	4	0	4	4	12	12	12	12	4	12
____ My Dad Says 2010	2010	You Can_t Handle the Truce	1	10	2	2	2	2	2	8	8	8	8	8
100 Questions 2010	2010	Are You Open Minded_	1	2	0	0	0	0	0	2	4	2	0	4
100 Questions 2010	2010	Are You Romantic_	1	3	0	0	0	0	0	3	2	3	0	3
100 Questions 2010	2010	Have You Ever Dated a Bad Boy_	1	4	0	0	0	0	2	2	2	2	0	4
100 Questions 2010	2010	Have You Ever Had a One_Night Stand_	1	6	0	0	0	0	2	0	2	4	0	4
100 Questions 2010	2010	Wayne_	1	5	0	0	0	2	0	3	0	2	0	3
100 Questions 2010	2010	What Brought You Here_	1	1	0	0	0	0	0	2	2	2	0	4
18 to Life 2010	2010	15 Minutes of Shame	2	2	0	0	0	0	2	0	2	0	0	0
18 to Life 2010	2010	A Modest Proposal	1	1	0	0	0	0	0	2	4	2	2	2
18 to Life 2010	2010	Baby Got Bank	1	5	0	0	0	1	1	2	1	0	0	1
18 to Life 2010	2010	Detour	1	4	0	0	0	2	2	1	2	0	0	2
18 to Life 2010	2010	Family Portrait	2	6	0	0	1	0	1	1	0	1	0	1
18 to Life 2010	2010	Goy Story	1	6	0	0	0	1	0	1	1	1	0	2
18 to Life 2010	2010	Guess Who_s Coming to Dinner	1	10	0	0	0	0	0	2	2	0	0	0
18 to Life 2010	2010	Hanging Pictures	1	7	0	0	0	0	1	1	1	1	0	1
18 to Life 2010	2010	House of Cards	2	13	0	0	0	0	0	0	2	0	0	2
18 to Life 2010	2010	I Do and I Don_t	2	4	0	0	0	0	3	0	2	0	0	0
18 to Life 2010	2010	If a Bellow Falls in the Forest	2	10	0	0	0	0	1	1	1	0	0	1
18 to Life 2010	2010	In Sickness and in Health	1	11	0	0	0	0	1	1	1	1	0	0
18 to Life 2010	2010	It_s My Party	1	3	0	0	0	0	0	1	4	0	1	1
18 to Life 2010	2010	No Strings Attached	1	2	0	0	0	0	0	3	4	0	0	1
18 to Life 2010	2010	One Is the Loneliest Number	2	1	0	0	0	0	2	0	2	0	0	0
18 to Life 2010	2010	Overcooked	2	5	0	0	0	0	1	1	1	0	0	0
18 to Life 2010	2010	Part Time Lovers	2	3	0	0	0	0	2	3	0	0	0	0
18 to Life 2010	2010	Phil _Er Up	1	8	0	0	0	0	2	3	0	0	0	0
18 to Life 2010	2010	The Flushing Point	2	8	0	0	0	0	1	1	1	0	0	1
18 to Life 2010	2010	The Gate	2	12	0	0	0	0	1	1	1	1	0	1
18 to Life 2010	2010	Wingman	1	12	0	0	0	1	1	1	1	1	0	0
2010 FIFA World Cup 2010	2010	Final_ Netherlands vs Spain	1	64	0	0	0	0	0	0	0	0	0	2
2010 FIFA World Cup 2010	2010	Group A_ South Africa vs Mexico	1	1	0	0	0	0	0	0	2	0	0	2
2010 FIFA World Cup 2010	2010	Group G_ Brazil vs North Korea	1	14	0	0	0	1	1	0	1	0	0	1
2010 FIFA World Cup 2010	2010	Quarter_Finals_ Argentina vs Germany	1	59	0	1	0	1	0	0	1	0	1	1
